agency,description,name,price
Wms Management Services,"{'Beds': '3', 'Baths': '4', 'Sq.Ft.': '3,221'}",4071 E Weston Ln That Portion Of Parcel 11 Of Sun Valley Farms Unit,"$1,120,000"
Keller Williams Realty East Valley,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,304'}",36480 N Crucillo Dr Shea Homes At Johnson Farms Neighborhood 2,"$1,100,000"
R & I Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,669'}",1776 E Pima Rd Queen Creek Suburban Ranches,"$1,100,000"
"Cactus Mountain Properties, Llc","{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '2,969'}",315 W Weld St Whitewing At San Tan Magma,"$999,000"
Century 21 Arizona Foothills,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,703'}",27964 N Cindy Ln  ,"$949,900"
Corvelo Real Estate,"{'Beds': '4', 'Baths': '4', 'Sq.Ft.': '3,016'}",273 W Dundy St Whitewing At San Tan Magma,"$910,000"
Engel & Voelkers Scottsdale,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '14,369'}",20958 N 112th St Silverleaf,"$32,000,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '14,048'}",21235 N 102nd St Silverleaf At DC Ranch,"$30,000,000"
Realty One Group,"{'Beds': '8', 'Baths': '11', 'Sq.Ft.': '15,378'}",10944 E Whistling Wind Way -- Silverleaf,"$29,000,000"
Silverleaf Realty,"{'Beds': '5', 'Baths': '8', 'Sq.Ft.': '12,128'}",10739 E Diamond Rim Dr Silverleaf At DC Ranch,"$25,990,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '7', 'Baths': '9', 'Sq.Ft.': '13,499'}",11200 E Canyon Cross Way Silverleaf At DC Ranch,"$24,500,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '9', 'Sq.Ft.': '11,556'}",11235 E Wingspan Way Silverleaf At DC Ranch,"$24,220,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '13,114'}",10719 E Rimrock Dr Silverleaf At DC Ranch,"$20,000,000"
"America's All In One Real Estate Services, Inc.","{'Beds': '9', 'Baths': '10', 'Sq.Ft.': '8,109'}",225 Chimney Rock Trl Yavapino Estates,"$6,500,000"
"Galloway Realty, L.L.C.","{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '4,420'}",15 Sky Ridge Ct Sky Ridge Estates,"$5,995,000"
Williams Luxury Homes,"{'Beds': '7', 'Baths': '5', 'Sq.Ft. Lot': '10,025'}",40 Roadrunner Ln Bradley Homesites,"$4,850,000"
"Galloway Realty, L.L.C.","{'Beds': '4', 'Baths': '6', 'Sq.Ft.': '3,920'}",11 Sky Ridge Ct Sky Ridge Estates,"$4,704,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '5', 'Baths': '6', 'Sq.Ft.': '6,932'}",330 Camino Del Caballo -- Foothills N,"$4,699,000"
RE/MAX Sedona,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '6,144'}",35 Altair Ave Aerie,"$4,675,000"
Legacy Sedona Llc,"{'Beds': '3', 'Baths': '4', 'Sq.Ft. Lot': '35,117'}",24 Jefferson Ct Mystic Heights,"$4,500,000"
"Real Broker Az, Llc","{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '6,165'}",20 Shadow Rock Dr Shadow Rock Estates,"$4,289,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '9', 'Sq.Ft.': '13,272'}",20567 N 112th St Silverleaf At DC Ranch,"$19,995,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '8', 'Sq.Ft.': '9,517'}",11098 E Whistling Wind Way #1851 Silverleaf At DC Ranch Parcel 6.8,"$18,988,000"
Silverleaf Realty,"{'Beds': '6', 'Baths': '7', 'Sq.Ft.': '7,698'}",11173 E Feathersong Ln #1704 Silverleaf At DC Ranch Parcel 6.7,"$14,995,000"
Silverleaf Realty,"{'Beds': '5', 'Baths': '8', 'Sq.Ft.': '8,649'}",21312 N 113th Place Silverleaf At DC Ranch,"$14,990,000"
The Agency,"{'Beds': '6', 'Baths': '6', 'Sq.Ft.': '6,963'}",41851 N 112th Place Desert Mountain,"$12,995,000"
